Date,Open,High,Low,Close,Adj Close,Volume
2021-06-16,5.152000,5.184000,5.120000,5.166000,5.084000,1132810
2021-06-17,5.140000,5.208000,5.140000,5.170000,5.087936,2099142
2021-06-18,5.180000,5.180000,5.014000,5.040000,4.960000,3026829
2021-06-21,4.965000,5.144000,4.914000,5.120000,5.120000,2848192
2021-06-22,5.120000,5.130000,5.052000,5.096000,5.096000,1763484
2021-06-23,5.134000,5.134000,5.024000,5.024000,5.024000,1599756
2021-06-24,4.911000,5.034000,4.848000,5.034000,5.034000,8053981
2021-06-25,4.992000,5.064000,4.992000,5.008000,5.008000,1639094
2021-06-28,5.068000,5.100000,4.942000,4.952000,4.952000,2334336
2021-06-29,4.952000,4.996000,4.946000,4.983000,4.983000,1307809
2021-06-30,4.964000,4.995000,4.852000,4.896000,4.896000,2427802
2021-07-01,4.958000,4.958000,4.852000,4.923000,4.923000,1782081
2021-07-02,4.960000,4.982000,4.929000,4.935000,4.935000,2677698
2021-07-05,4.912000,5.016000,4.912000,5.008000,5.008000,2163125
2021-07-06,5.014000,5.014000,4.922000,4.939000,4.939000,1594357
2021-07-07,4.933000,5.004000,4.930000,4.992000,4.992000,1481995
2021-07-08,4.950000,4.950000,4.826000,4.869000,4.869000,3232585
2021-07-09,4.900000,4.990000,4.870000,4.972000,4.972000,1838472
2021-07-12,4.972000,4.972000,4.863000,4.931000,4.931000,1526660
2021-07-13,4.962000,4.973000,4.901000,4.938000,4.938000,1836469
2021-07-14,4.926000,4.960000,4.916000,4.926000,4.926000,925785
2021-07-15,4.910000,4.918000,4.844000,4.860000,4.860000,1551769
2021-07-16,4.866000,4.955000,4.834000,4.892000,4.892000,2942863
2021-07-19,4.852000,4.868000,4.708000,4.748000,4.748000,4116007
2021-07-20,4.760000,4.849000,4.755000,4.826000,4.826000,4637553
2021-07-21,4.836000,5.042000,4.836000,4.999000,4.999000,5465593
2021-07-22,5.014000,5.040000,4.943000,4.961000,4.961000,2320311
2021-07-23,4.999000,5.090000,4.965000,5.090000,5.090000,3578219
2021-07-26,5.038000,5.140000,5.006000,5.096000,5.096000,2048703
2021-07-27,5.062000,5.094000,4.971000,5.022000,5.022000,2792244
2021-07-28,5.010000,5.100000,4.972000,5.076000,5.076000,2243989
2021-07-29,5.096000,5.172000,5.066000,5.124000,5.124000,2419460
2021-07-30,5.098000,5.146000,5.080000,5.098000,5.098000,1730874
2021-08-02,5.144000,5.194000,5.114000,5.140000,5.140000,2263761
2021-08-03,5.140000,5.192000,5.062000,5.062000,5.062000,1962976
2021-08-04,5.094000,5.116000,5.048000,5.110000,5.110000,1172646
2021-08-05,5.084000,5.092000,4.997000,5.082000,5.082000,1912199
2021-08-06,5.200000,5.450000,5.190000,5.450000,5.450000,11030734
2021-08-09,5.480000,5.548000,5.372000,5.406000,5.406000,4745665
2021-08-10,5.408000,5.470000,5.376000,5.402000,5.402000,3195338
2021-08-11,5.450000,5.450000,5.364000,5.432000,5.432000,1428261
2021-08-12,5.450000,5.458000,5.428000,5.444000,5.444000,1130398
2021-08-13,5.450000,5.458000,5.410000,5.446000,5.446000,2334201
2021-08-16,5.428000,5.448000,5.410000,5.424000,5.424000,869534
2021-08-17,5.402000,5.406000,5.296000,5.314000,5.314000,2071429
2021-08-18,5.340000,5.374000,5.304000,5.372000,5.372000,1372294
2021-08-19,5.290000,5.360000,5.226000,5.236000,5.236000,2469703
2021-08-20,5.212000,5.216000,5.152000,5.186000,5.186000,1342414
